State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ALAWOONA,5311,Barker,,
SA,ALLENDALE EAST,5291,Barker,,
SA,ALLENDALE NORTH,5373,Barker,,
SA,ALTONA,5351,Barker,,
SA,ANGAS VALLEY,5238,Barker,,
SA,ANGASTON,5353,Barker,,
SA,ANNADALE,5356,Barker,,
SA,APAMURRA,5237,Barker,,
SA,ASHVILLE,5259,Barker,,
SA,AVENUE RANGE,5273,Barker,,
SA,AVOCA DELL,5253,Barker,,
SA,BAGOT WELL,5373,Barker,,
SA,BAKARA,5354,Barker,,
SA,BAKARA WELL,5354,Barker,,
SA,BANGHAM,5268,Barker,,
SA,BARMERA,5345,Barker,,
SA,BAROSSA GOLDFIELDS,5351,Barker,,
SA,BEACHPORT,5280,Barker,,
SA,BEATTY,5320,Barker,,
SA,BEAUMONTS,5320,Barker,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,BERRI,5343,Barker,,
SA,BETHANY,5352,Barker,,
SA,BETHEL,5373,Barker,,
SA,BIG BEND,5238,Barker,,
SA,BINNUM,5262,Barker,,
SA,BIRDWOOD,5234,Barker,,
SA,BISCUIT FLAT,5275,Barker,,GREENWAYS
SA,BISCUIT FLAT,5275,Barker,,MOUNT BENSON
SA,BISCUIT FLAT,5275,Barker,,REEDY CREEK
SA,BLACK HILL,5353,Barker,,
SA,BLACKFELLOWS CAVES,5291,Barker,,
SA,BLACKFORD,5275,Barker,,
SA,BLANCHETOWN,5357,Barker,,
SA,BOATSWAIN POINT,5275,Barker,,
SA,BOLTO,5238,Barker,,
SA,BOOKPURNONG,5333,Barker,,
SA,BOOL LAGOON,5271,Barker,,
SA,BOOLGUN,5330,Barker,,
SA,BORDERTOWN,5268,Barker,,
SA,BORDERTOWN SOUTH,5268,Barker,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,BORRIKA,5309,Barker,,
SA,BOWER,5374,Barker,,
SA,BOWHILL,5238,Barker,,
SA,BRAY,5276,Barker,,
SA,BRENDA PARK,5320,Barker,,
SA,BRIMBAGO,5267,Barker,,
SA,BRINKLEY,5253,Barker,,
SA,BUCKINGHAM,5270,Barker,,
SA,BUGLE HUT,5311,Barker,,
SA,BUNBURY,5266,Barker,,
SA,BURDETT,5253,Barker,,
SA,BURRUNGULE,5291,Barker,,
SA,CADELL,5321,Barker,,
SA,CADELL LAGOON,5321,Barker,,
SA,CADGEE,5271,Barker,,
SA,CALIPH,5310,Barker,,
SA,CALLINGTON,5254,Barker,,
SA,CALOOTE,5254,Barker,,
SA,CALPERUM STATION,5341,Barker,,
SA,CAMBRAI,5353,Barker,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,CANNAWIGARA,5268,Barker,,
SA,CANOPUS,5341,Barker,,
SA,CANUNDA,5291,Barker,,
SA,CAPE DOUGLAS,5291,Barker,,
SA,CAPE JAFFA,5275,Barker,,
SA,CARCUMA,5301,Barker,,
SA,CAREW,5270,Barker,,
SA,CAROLINE,5291,Barker,,
SA,CARPENTER ROCKS,5291,Barker,,
SA,CAURNAMONT,5238,Barker,,
SA,CAVETON,5291,Barker,,
SA,CHAFFEY,5341,Barker,,
SA,CHAPMAN BORE,5253,Barker,,
SA,CHOWILLA,5341,Barker,,
SA,CLAY WELLS,5280,Barker,,
SA,CLAYPANS,5238,Barker,,
SA,COBDOGLA,5346,Barker,,
SA,COCKATOO VALLEY,5351,Barker,,
SA,COLEBATCH,5266,Barker,,
SA,COLES,5272,Barker,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
SA,COMAUM,5277,Barker,,
SA,COMPTON,5291,Barker,,
SA,CONMURRA,5272,Barker,,
SA,COOKE PLAINS,5261,Barker,,
SA,COOLTONG,5341,Barker,,
SA,COOMANDOOK,5261,Barker,,
SA,COOMBE,5267,Barker,,
SA,COONALPYN,5265,Barker,,
SA,COONAWARRA,5263,Barker,,
SA,COORONG,5264,Barker,,
SA,COPEVILLE,5308,Barker,,
SA,COWIRRA,5238,Barker,,
SA,CRESCENT,5341,Barker,,
SA,CROMER,5235,Barker,,
SA,CULBURRA,5261,Barker,,
SA,CUSTON,5269,Barker,,
SA,DAVEYSTON,5355,Barker,,
SA,DEEPWATER,5266,Barker,,
SA,DEVLINS POUND,5330,Barker,,
SA,DISMAL SWAMP,5291,Barker,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
